ap,city,circle_code_no,ont_serial_no,vendor_name,station_mac,circle,client_with_poor_snr_sample,client_with_poor_snr_sample_2,client_with_poor_snr_sample_5,tot_2g,tot_5g,tot_overall,client_with_high_no_of_sticky_client_2_with_good_coverage,client_with_high_no_of_sticky_client_5_with_poor_coverage,client_with_high_tx_packet_error,client_with_high_client_disconnection,client_with_poor_link_speed_mcs_rate,client_with_poor_link_speed_mcs_rate_2,client_with_poor_link_speed_mcs_rate_5,client_with_poor_coverage,client_with_poor_coverage_2,client_with_poor_coverage_5,client_with_poor_dl_throughput_less_than_threshold,client_with_poor_ul_throughput_less_than_threshold,ap_manufacturer,host_name,type,manufacturer,model,client_with_poor_snr_sample_breach,client_with_poor_snr_sample_2_breach,client_with_poor_snr_sample_5_breach,client_with_high_tx_packet_error_breach,client_with_high_client_disconnection_breach,client_with_poor_link_speed_mcs_rate_breach,client_with_poor_link_speed_mcs_rate_2_breach,client_with_poor_link_speed_mcs_rate_5_breach,client_with_poor_coverage_breach,client_with_poor_coverage_2_breach,client_with_poor_coverage_5_breach,count_of_total_samples_for_client_with_poor_snr_sample,count_of_total_samples_for_client_with_poor_snr_sample_2,count_of_total_samples_for_client_with_poor_snr_sample_5,count_of_total_samples_for_ap_tot_2g,count_of_total_samples_for_ap_tot_5g,count_of_total_samples_for_ap_tot_overall,count_of_total_samples_for_client_with_high_tx_packet_error,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_client_with_poor_coverage,count_of_total_samples_for_client_with_poor_coverage_2,count_of_total_samples_for_client_with_poor_coverage_5,mac_address,station_count,downtime_hours_used,ap_with_poor_coverage,ap_with_poor_coverage_2,ap_with_poor_coverage_5,ap_with_poor_snr_sample_2,ap_with_poor_snr_sample_5,ap_with_poor_snr_sample,ap_with_poor_dl_throughput_less_than_threshold,ap_with_poor_ul_throughput_less_than_threshold,ap_with_poor_link_speed_mcs_rate,ap_with_poor_link_speed_mcs_rate_2,ap_with_poor_link_speed_mcs_rate_5,ap_with_high_interference,ap_with_high_interference_2,ap_with_high_interference_5,ap_with_high_client_disconnection,ap_with_high_retry_rate,ap_with_high_retry_rate_flag,ap_with_high_tx_packet_error,ap_with_high_tx_packet_error_percent,ap_with_high_tx_packet_error_flag,ap_with_high_rx_packet_error,ap_with_high_rx_packet_error_flag,ap_downtime_per,ap_with_high_internet_down_incident,ap_with_high_cpu_utilisation,ap_with_high_memory_packet_error,ap_with_high_no_of_sticky_client_2_with_good_coverage,ap_with_high_no_of_sticky_client_5_with_poor_coverage,ap_with_poor_tot_on_5g,ap_with_zero_usage,ap_with_high_channel_utilisation_pct,ap_with_high_channel_utilisation_count,total_channels_all,ap_with_high_channel_utilisation_2_pct,ap_with_high_channel_utilisation_2_count,total_channels_2,ap_with_high_channel_congestion_5_pct,ap_with_high_channel_congestion_5_count,total_channels_5,ap_with_poor_coverage_breach,ap_with_poor_coverage_2_breach,ap_with_poor_coverage_5_breach,ap_with_poor_snr_sample_2_breach,ap_with_poor_snr_sample_5_breach,ap_with_poor_snr_sample_breach,ap_with_poor_dl_throughput_less_than_threshold_breach,ap_with_poor_ul_throughput_less_than_threshold_breach,ap_with_poor_link_speed_mcs_rate_breach,ap_with_poor_link_speed_mcs_rate_2_breach,ap_with_poor_link_speed_mcs_rate_5_breach,ap_with_high_interference_breach,ap_with_high_interference_2_breach,ap_with_high_interference_5_breach,ap_with_high_client_disconnection_breach,ap_with_high_retry_rate_breach,ap_with_high_tx_packet_error_breach,ap_with_high_tx_packet_error_percent_breach,ap_with_high_rx_packet_error_breach,ap_downtime_per_breach,ap_with_high_internet_down_incident_breach,ap_with_high_cpu_utilisation_breach,ap_with_high_memory_packet_error_breach,ap_with_high_no_of_sticky_client_2_with_good_coverage_breach,ap_with_high_no_of_sticky_client_5_with_poor_coverage_breach,ap_with_poor_tot_on_5g_breach,ap_with_zero_usage_breach,ap_with_high_channel_utilisation_breach,ap_with_high_channel_utilisation_2_breach,ap_with_high_channel_congestion_5_breach,channelobss,channelobss2_4,channelobss2_4_breach,channelobss5,channelobss5_breach,channelobss_breach,count_of_total_samples_for_ap_with_poor_coverage,count_of_total_samples_for_ap_with_poor_coverage_2,count_of_total_samples_for_ap_with_poor_coverage_5,count_of_total_samples_for_ap_with_poor_snr_sample_2,count_of_total_samples_for_ap_with_poor_snr_sample_5,count_of_total_samples_for_ap_with_poor_snr_sample,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_ap_with_high_interference,count_of_total_samples_for_ap_with_high_interference_2,count_of_total_samples_for_ap_with_high_interference_5,count_of_total_samples_for_ap_with_high_retry_rate,count_of_total_samples_for_ap_with_high_tx_packet_error,count_of_total_samples_for_ap_with_high_tx_packet_error_percent,count_of_total_samples_for_ap_with_high_rx_packet_error,count_of_total_samples_for_ap_downtime_per,count_of_total_samples_for_ap_with_high_internet_down_incident,count_of_total_samples_for_ap_with_poor_tot_on_5g,count_of_total_samples_for_ap_with_high_channel_utilisation,count_of_total_samples_for_ap_with_high_channel_utilisation_2,count_of_total_samples_for_ap_with_high_channel_congestion_5,count_of_total_samples_for_channelobss,count_of_total_samples_for_channelobss2_4,count_of_total_samples_for_channelobss5
01244081160_dsl,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2E16524D4AFB,Haryana,0.0,0.0,0.0,0.0,100.0,46.45,False,False,0.0,59.0,0.0,0.0,0.0,0.0,,0.0,1.17,0.03,AOT4221NK,iPhone,,,,False,False,False,False,True,False,False,False,False,,False,13566.0,0.0,13566.0,2104790016.0,2104790016.0,4531089408.0,714.0,714.0,,714.0,714.0,0.0,714.0,,,,0.0,,0.0,0.0,0.0,0.0,1.17,0.03,0.0,0.0,0.0,,,,59.0,,,0.0,,,,,,,,,False,False,,,,,,,,,,,,False,,False,False,False,False,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,,,714.0,0.0,714.0,0.0,13566.0,13566.0,714.0,,714.0,,,,,714.0,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,286B35D324CB,Haryana,,,,0.0,100.0,1.99,,,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,11.99,0.24,AAP321NK,DESKTOP-7592F22,PC,Intel,Desktop,,,,False,True,False,False,False,False,,False,,,,930839470.0,930839470.0,46686080192.0,22.0,22.0,,22.0,22.0,0.0,22.0,,,,0.0,,0.0,,,,11.99,0.24,0.0,0.0,0.0,,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,False,,False,,,,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,,,22.0,0.0,22.0,,,,22.0,,22.0,,,,,22.0,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,1AA0C35EE4F9,Haryana,,,,0.0,100.0,6.01,False,False,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,7.61,0.06,AAP321NK,iPhone,PHONE,Apple,iPhone,,,,False,True,False,False,False,False,,False,,,,2805336254.0,2805336254.0,46686080192.0,597.0,597.0,,597.0,597.0,0.0,597.0,,,,0.0,,0.0,,,,7.61,0.06,0.0,0.0,0.0,,,,20.0,,,0.0,,,,,,,,,False,False,,,,,,,,,,,,False,,False,,,,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,,,597.0,0.0,597.0,,,,597.0,,597.0,,,,,597.0,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5215E04285F1,Haryana,0.0,0.0,0.0,3.86,96.14,7.95,True,False,0.0,15.0,18.18,0.0,18.24,0.0,0.0,0.0,2.39,0.13,AOT4221NK,OnePlus-10T-5G,,,,False,False,False,False,True,False,False,False,False,False,False,11248.0,0.0,11248.0,7193626624.0,7193626624.0,90529682432.0,594.0,594.0,2.0,592.0,594.0,2.0,592.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.13,18.18,0.0,18.24,,,,15.0,,,0.0,,,,,,,,,True,False,,,,,,,,,,,,False,False,False,False,False,False,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,,,594.0,2.0,592.0,0.0,11248.0,11248.0,594.0,2.0,592.0,,,,,594.0,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,4C22F33F2EDC,Haryana,,,,0.0,100.0,5.57,False,True,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,4.29,0.09,AAP321NK,LGwebOSTV,,,,,,,False,False,False,False,False,False,,False,,,,7126376448.0,7126376448.0,127874562048.0,64.0,64.0,,64.0,64.0,0.0,64.0,,,,0.0,,0.0,,,,4.29,0.09,0.0,0.0,0.0,,,,2.0,,,0.0,,,,,,,,,False,True,,,,,,,,,,,,False,,False,,,,,,False,False,False,,,,False,,False,,,,,,,,,,,,,,,,,,,,64.0,0.0,64.0,,,,64.0,,64.0,,,,,64.0,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,F4032A96D8C9,Haryana,,,,0.0,100.0,2.2,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.29,0.02,AAP321NK,,,,,,,,False,,False,False,False,False,,False,,,,1025542144.0,1025542144.0,46686080192.0,906.0,906.0,,906.0,906.0,0.0,906.0,,,,0.0,,0.0,,,,0.29,0.02,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,False,,False,,,,,,False,False,False,,,,,,False,,,,,,,,,,,,,,,,,,,,906.0,0.0,906.0,,,,906.0,,906.0,,,,,906.0,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,0A3CC1576FFD,Haryana,,,,0.0,100.0,0.12,False,False,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.06,0.22,AAP321NK,iPad,TABLET,Apple,iPad,,,,False,False,False,False,False,False,,False,,,,154184704.0,154184704.0,127874562048.0,783.0,783.0,,783.0,783.0,0.0,783.0,,,,0.0,,0.0,,,,0.06,0.22,0.0,0.0,0.0,,,,2.0,,,0.0,,,,,,,,,False,False,,,,,,,,,,,,False,,False,,,,,,False,False,False,,,,False,,False,,,,,,,,,,,,,,,,,,,,783.0,0.0,783.0,,,,783.0,,783.0,,,,,783.0,,,,,,,,,,,
01246472327_dsl,Gurgaon,108.0,NKOTA0000592,NOKIA,F227C07267FC,Haryana,,,,100.0,0.0,0.9,False,False,0.0,22.0,10.0,10.0,0.0,0.0,0.0,,0.18,0.12,AOT4221NK,,,,,,,,False,True,False,False,False,False,False,,,,,183377920.0,183377920.0,20472060928.0,10.0,10.0,10.0,,10.0,10.0,0.0,,,,0.0,0.0,,,,,0.18,0.12,10.0,10.0,0.0,,,,22.0,,,0.0,,,,,,,,,False,False,,,,,,,,,,,,False,False,,,,,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,,,,10.0,10.0,,,,,,10.0,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,84D32878CCD6,Haryana,,,,0.0,100.0,0.16,False,False,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,8.43,0.13,AAP321NK,,,,,,,,False,True,False,False,False,False,,False,,,,201620480.0,201620480.0,127874562048.0,2.0,2.0,,2.0,2.0,0.0,2.0,,,,0.0,,0.0,,,,8.43,0.13,0.0,0.0,0.0,,,,9.0,,,0.0,,,,,,,,,False,False,,,,,,,,,,,,False,,False,,,,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5A8CF8F08505,Haryana,0.0,0.0,0.0,0.0,100.0,0.75,False,False,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.04,0.07,AOT4221NK,MacBookPro,LAPTOP,Apple,MacBook,False,False,False,False,False,False,False,False,False,,False,19722.0,0.0,19722.0,679329792.0,679329792.0,90529682432.0,1038.0,1038.0,,1038.0,1038.0,0.0,1038.0,,,,0.0,,0.0,0.0,0.0,0.0,1.04,0.07,0.0,0.0,0.0,,,,2.0,,,0.0,,,,,,,,,False,False,,,,,,,,,,,,False,,False,False,False,False,,,False,False,False,,,,False,,False,,,,,,,,,,,,,,,,,,,,1038.0,0.0,1038.0,0.0,19722.0,19722.0,1038.0,,1038.0,,,,,1038.0,,,,,,,,,,,
